Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
031616_Gel4_PAZ_Tube_18_160506001539	48	Human	PAZ	A	22	18	4	4	20160308
031616_Gel5_Exp24_BOS_Tube_17	48	Human	BOS	A	24	17	5	2	20160308
031616_Gel5_Exp24_CTRL_Tube_1	48	Human	CTRL	A	24	1	5	1	20160308
031616_Gel5_Exp24_ERL_Tube_8	48	Human	ERL	A	24	8	5	3	20160308
031616_Gel5_Exp24_SOR_Tube_11	48	Human	SOR	A	24	11	5	4	20160308
031616_Gel5_Exp24_VAN_Tube_18	48	Human	VAN	A	24	18	5	5	20160308
031616_Gel6_Exp24_AFA_Tube_23	48	Human	AFA	A	24	23	6	1	20160308
031616_Gel6_Exp24_AXI_Tube_20	48	Human	AXI	A	24	20	6	2	20160308
031616_Gel6_Exp24_NIL_Tube_19	48	Human	NIL	A	24	19	6	3	20160308
031616_Gel6_Exp24_PAZ_Tube_21	48	Human	PAZ	A	24	21	6	4	20160308
031616_Gel6_Exp24_RUX_Tube_22	48	Human	RUX	A	24	22	6	5	20160308
031616_Gel7_CTRL_Exp31_Tube_2_160620132755	48	Human	CTRL	A	31	2	7	1	20160308
031616_Gel7_SOR_Exp31_Tube_16_160620172811	48	Human	SOR	A	31	16	7	2	20160308
031616_Gel8_VAN_Exp38_Tube_5	48	Human	VAN	A	38	5	8	5	20160308
031616_Gel8_AXI_Exp38_Tube7	48	Human	AXI	A	38	7	8	2	20160308
031616_Gel8_BOS_Exp38_Tube_4	48	Human	BOS	A	38	4	8	3	20160308
031616_Gel8_CTRL_Exp38_Tube_1	48	Human	CTRL	A	38	1	8	1	20160308
031616_Gel8_NIL_Exp38_Tube_6	48	Human	NIL	A	38	6	8	4	20160308
031616_Gel9_AFA_Exp38_Tube_10	48	Human	AFA	A	38	10	9	2	20160308
031616_Gel9_CTRL_Exp38_Tube_2_160518133038	48	Human	CTRL	A	38	2	9	1	20160308
031616_Gel9_REG_Exp38_Tube_11	48	Human	REG	A	38	11	9	3	20160308
031616_Gel9_REG_Exp38_Tube_12	48	Human	REG	A	38	12	9	4	20160308
031616_Gel9_RUX_Exp38_Tube_9	48	Human	RUX	A	38	9	9	5	20160308
031616_Gel10_CTRL_Exp38_Tube_1	48	Human	CTRL	A	38	1	10	1	20160308
031616_Gel10_CTRL_Exp58_Tube_1	48	Human	CTRL	A	58	1	10	2	20160308
031616_Gel10_SUN_Exp38_Tube_2	48	Human	CTRL	A	38	22	10	3	20160308
031616_Gel10_SUN_Exp58_Tube_6	48	Human	SUN	A	58	6	10	4	20160308
031616_Gel11_CTRL_Exp49_Tube_1_160618212423	48	Human	CTRL	A	49	1	11	1	20160308
031616_Gel11_PAZ_Exp49_Tube_8_160619012456	48	Human	PAZ	A	49	8	11	2	20160308
031616_Gel11_REG_Exp49_Tube_9_160619052515	48	Human	REG	A	49	9	11	3	20160308
